Step,Body,X,Y,Z,Mass
100,0,530697.1270040214,337748.14660463104,0,1989000000000000000000000000000
100,1,-24994905562.561153,146289524709.51572,0,5972000000000000000000000
100,2,-25252160386.80491,145937722024.2123,0,73476730900000000000000
101,0,538462.2085416834,346954.0660822745,0,1989000000000000000000000000000
101,1,-27550435755.07097,145835323340.8935,0,5972000000000000000000000
101,2,-27744389783.758778,145439170329.53925,0,73476730900000000000000
102,0,546201.9010544677,356294.3606893092,0,1989000000000000000000000000000
102,1,-30097696985.955883,145336745091.2313,0,5972000000000000000000000
102,2,-30221423463.04496,144909950438.8142,0,73476730900000000000000
103,0,553913.8610409906,365768.55670912436,0,1989000000000000000000000000000
103,1,-32635887005.186707,144793937054.80078,0,5972000000000000000000000
103,2,-32685028146.191887,144350930318.6408,0,73476730900000000000000
104,0,561595.7541247889,375376.1389224514,0,1989000000000000000000000000000
104,1,-35164206351.334496,144207063895.24872,0,5972000000000000000000000
104,2,-35136990914.17977,143762673410.3452,0,73476730900000000000000
105,0,569245.2558106717,385116.5507927562,0,1989000000000000000000000000000
105,1,-37681858486.49646,143576307682.3548,0,5972000000000000000000000
105,2,-37579128715.29911,143145446879.35434,0,73476730900000000000000
106,0,576860.0522367425,394989.19466638134,0,1989000000000000000000000000000
106,1,-40188049963.57179,142901867959.53738,0,5972000000000000000000000
106,2,-40013295126.48736,142499210710.68488,0,73476730900000000000000
107,0,584437.8409218064,404993.43198737974,0,1989000000000000000000000000000
107,1,-42681990673.78997,142183962021.14615,0,5972000000000000000000000
107,2,-42441380467.02962,141823589355.8203,0,73476730900000000000000
108,0,591976.3315078884,415128.5835269643,0,1989000000000000000000000000000
108,1,-45162894226.48392,141422825394.91666,0,5972000000000000000000000
108,2,-44865301031.366905,141117826308.87677,0,73476730900000000000000
109,0,599473.2464975979,425393.9296274823,0,1989000000000000000000000000000
109,1,-47629978534.75851,140618712536.12314,0,5972000000000000000000000
109,2,-47286971447.79527,140380721083.31445,0,73476730900000000000000
110,0,606926.3219860984,435788.710460799,0,1989000000000000000000000000000
110,1,-50082466723.16241,139771897738.16345,0,5972000000000000000000000
110,2,-49708250719.48116,139610548207.5383,0,73476730900000000000000
111,0,614333.3083874572,446312.1263009439,0,1989000000000000000000000000000
111,1,-52519588539.91972,138882676233.35907,0,5972000000000000000000000
111,2,-52130847104.045074,138804960374.22357,0,73476730900000000000000
112,0,621691.9711551795,456963.3378108292,0,1989000000000000000000000000000
112,1,-54940582542.3152,137951365367.1053,0,5972000000000000000000000
112,2,-54556159995.77498,137960885246.99655,0,73476730900000000000000
113,0,629000.0914967557,467741.4663427864,0,1989000000000000000000000000000
113,1,-57344699398.663155,136978305529.30531,0,5972000000000000000000000
113,2,-56985030892.71178,137074441620.39737,0,73476730900000000000000
114,0,636255.467082067,478645.5942525866,0,1989000000000000000000000000000
114,1,-59731206618.654495,135963860165.39265,0,5972000000000000000000000
114,2,-59417378102.59391,136140930023.53766,0,73476730900000000000000
115,0,643455.912745488,489674.76522651524,0,1989000000000000000000000000000
115,1,-62099394676.31469,134908413677.56181,0,5972000000000000000000000
115,2,-61851718090.32582,135154994448.84348,0,73476730900000000000000
116,0,650599.2611814602,500827.98462099343,0,1989000000000000000000000000000
116,1,-64448583523.14038,133812365630.79013,0,5972000000000000000000000
116,2,-64284654935.99171,134111084078.23573,0,73476730900000000000000
117,0,657683.3636331687,512104.2198142443,0,1989000000000000000000000000000
117,1,-66778126829.77974,132676120157.41122,0,5972000000000000000000000
117,2,-66710554224.30663,133004304932.6563,0,73476730900000000000000
118,0,664706.0905737419,523502.400569679,0,1989000000000000000000000000000
118,1,-69087409901.80235,131500071817.02847,0,5972000000000000000000000
118,2,-69121730885.4196,131831559305.20924,0,73476730900000000000000
119,0,671665.3323792117,535021.4194110575,0,1989000000000000000000000000000
119,1,-71375838455.3961,130284593057.36124,0,5972000000000000000000000
119,2,-71509379694.34729,130592554755.84607,0,73476730900000000000000
120,0,678558.9999924985,546660.1320099155,0,1989000000000000000000000000000
120,1,-73642820671.26804,129030030292.51736,0,5972000000000000000000000
120,2,-73865051857.76959,129290112371.74518,0,73476730900000000000000
121,0,685385.0255780127,558417.3575859079,0,1989000000000000000000000000000
121,1,-75887750426.81125,127736711578.96344,0,5972000000000000000000000
121,2,-76182035580.34802,127929532046.94739,0,73476730900000000000000
122,0,692141.3631669166,570291.8793204104,0,1989000000000000000000000000000
122,1,-78109999069.86427,126404961495.56224,0,5972000000000000000000000
